address,transaction_count,unique_customers,total_received_usdt,avg_payment_size,median_payment_size,max_customer_share,transaction_span_days,days_active,hours_active,peak_hour_utc,estimated_region,customer_return_rate,returning_customers,first_seen,last_seen,merchant_size
tdyjcgtapgg7xijc7j6nzaklmqcdxe1bxf,6050,3906,40632.07,6.72,4.84,0.006,1,2,24,8,Europe-Africa,0.254,991,2025-06-11 07:40:15-07:00,2025-06-12 13:48:09-07:00,Large
tlntw9z59lyy5kei9cmwk3pkjqga828ird,4626,1538,5010.0,1.08,1.0,0.011,1,2,24,8,Europe-Africa,0.486,748,2025-06-11 07:40:21-07:00,2025-06-12 13:48:42-07:00,Large
txyqcwrnnp1bgsa9tzjsejikaywmronwmv,2512,1945,56397.99,22.45,10.7,0.004,1,2,24,8,Europe-Africa,0.193,375,2025-06-11 07:40:15-07:00,2025-06-12 13:48:12-07:00,Large
twd1bpfysqrwctddshor31vqyxqd286mng,873,830,83960.24,96.17,26.49,0.041,1,2,24,9,Europe-Africa,0.011,9,2025-06-11 07:42:39-07:00,2025-06-12 13:43:00-07:00,Large
tkbu66msmb6akrh5jqk5bjvkhnkf6fyivo,619,312,61596.59,99.51,12.06,0.058,1,2,24,8,Europe-Africa,0.372,116,2025-06-11 07:41:30-07:00,2025-06-12 13:15:15-07:00,Large
tvezt6cpfawmb2b7xifts7hpn7ahptdf2y,460,456,22247.28,48.36,23.14,0.004,0,1,3,19,Americas,0.009,4,2025-06-11 18:14:15-07:00,2025-06-11 20:29:33-07:00,Large
tzbu5chhnnwyatbi9xwxrcgz7ejpka8uak,449,13,21037.23,46.85,42.61,0.577,1,2,10,8,Europe-Africa,0.615,8,2025-06-11 07:46:15-07:00,2025-06-12 12:58:57-07:00,Large
thyyimcrxlndenolikh291x9syuycwgz1r,404,388,29812.27,73.79,7.88,0.007,1,2,21,4,Asia-Pacific,0.039,15,2025-06-11 07:40:39-07:00,2025-06-12 13:41:27-07:00,Large
tkrbh4xjovm9v9pptupkqdzmrm5cq1zoq4,375,244,21566.04,57.51,30.14,0.12,1,2,24,9,Europe-Africa,0.143,35,2025-06-11 07:42:30-07:00,2025-06-12 13:31:57-07:00,Large
tc3bqwnhmp5wgjmjhskcsoaag9w1nc9yux,336,331,32720.14,97.38,90.41,0.006,1,2,24,10,Europe-Africa,0.015,5,2025-06-11 07:44:57-07:00,2025-06-12 13:45:27-07:00,Large
ttqrgrqkuprhnqrg6cgtsj1po399999999,334,311,12910.58,38.65,18.5,0.012,1,2,24,8,Europe-Africa,0.064,20,2025-06-11 07:42:12-07:00,2025-06-12 13:43:36-07:00,Large
txfyygfydbxy4dgv1fdzd7il8mym1eh9ha,320,251,28322.19,88.51,21.42,0.016,1,2,24,15,Americas,0.191,48,2025-06-11 07:43:39-07:00,2025-06-12 13:39:54-07:00,Large
tvmafrkqbmejspqkpnkuv6oncf3hgesszc,316,251,4608.72,14.58,10.66,0.016,1,2,24,8,Europe-Africa,0.187,47,2025-06-11 07:42:30-07:00,2025-06-12 13:43:18-07:00,Large
tbpgdl2rdjz7adngzonvf1xg6hfcszfang,294,183,9658.11,32.85,16.14,0.197,1,2,24,5,Asia-Pacific,0.191,35,2025-06-11 07:45:27-07:00,2025-06-12 13:28:33-07:00,Large
tqshyow8hqdr81vkdbynkhjpxtxukk37l4,277,94,17793.24,64.24,16.43,0.206,1,2,24,23,Asia-Pacific,0.319,30,2025-06-11 08:15:36-07:00,2025-06-12 13:46:21-07:00,Large
te9ceafxhpx5ttlxahsbyx2fwift1uumgu,268,267,24784.43,92.48,70.0,0.007,1,2,19,3,Asia-Pacific,0.004,1,2025-06-11 07:40:39-07:00,2025-06-12 10:07:45-07:00,Large
